act_id,act_name,year,section,title,description,keywords,domain,source_url,active_status
11,Consumer Protection Act,2019,35,Manner in which complaint shall be made,"A complaint, in relation to any goods sold or delivered or agreed to be sold or delivered or any service provided or agreed to be provided, may be filed with a District Commission by the consumer or any recognized consumer association.","consumer complaint, district commission, filing, consumer",Consumer Law,https://www.indiacode.nic.in/handle/123456789/11100/section_35,Active
12,Transfer of Property Act,1882,54,"Sale defined, Sale how made","Sale is a transfer of ownership in exchange for a price paid or promised or part-paid and part-promised. Such transfer, in the case of tangible immoveable property of the value of one hundred rupees and upwards can be made only by a registered instrument.","sale, property, registration, deed, ownership transfer, sale agreement",Property Law,https://www.indiacode.nic.in/handle/123456789/2334/section_54,Active
13,Transfer of Property Act,1882,105,Lease defined,"A lease of immoveable property is a transfer of a right to enjoy such property, made for a certain time, express or implied, or in perpetuity, in consideration of a price paid or promised, or of money, a share of crops, service or any other thing of value, to be rendered periodically or on specified occasions to the transferor by the transferee, who accepts the transfer on such terms.","lease, tenant, landlord, rent, rent agreement, lease deed",Property Law,https://www.indiacode.nic.in/handle/123456789/2334/section_105,Active
14,Transfer of Property Act,1882,108,Rights and liabilities of lessor and lessee,"Defines the rights and obligations of both the landlord (lessor) and the tenant (lessee), including the obligation to return the property in good condition, the right to recover security deposits, and rules regarding damage and repairs.","landlord duties, tenant rights, security deposit, maintenance, repairs, damage",Property Law,https://www.indiacode.nic.in/handle/123456789/2334/section_108,Active
15,Indian Penal Code,1860,300,Murder,"Except in the cases hereinafter excepted, culpable homicide is murder, if the act by which the death is caused is done with the intention of causing death, or with the intention of causing bodily injury as the offender knows to be likely to cause death, or is sufficient in the ordinary course of nature to cause death.","murder, homicide, killing, intention, bodily injury",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_300,Active
16,Indian Penal Code,1860,302,Punishment for murder,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine.","punishment, murder, death penalty, life imprisonment",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_302,Active
17,Indian Penal Code,1860,378,Theft,"Whoever, intending to take dishonestly any moveable property out of the possession of any person without that person's consent, moves that property in order to such taking, is said to commit theft.","theft, stealing, moveable property, consent, dishonest intention",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_378,Active
18,Indian Penal Code,1860,379,Punishment for theft,"Whoever commits theft shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.","theft, punishment, stealing, jail",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_379,Active
19,Indian Penal Code,1860,420,Cheating and dishonestly inducing delivery of property,"Whoever cheats and thereby dishonestly induces the person deceived to deliver any property to any person, or to make, alter or destroy the whole or any part of a valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","cheating, fraud, forgery, inducement, financial fraud, property delivery",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_420,Active
20,Protection of Women from Domestic Violence Act,2005,12,Application to Magistrate,"An aggrieved person or a Protection Officer or any other person on behalf of the aggrieved person may present an application to the Magistrate seeking one or more reliefs under this Act, including protection order, residence order, monetary relief, custody order, or compensation order.","domestic violence, magistrate application, maintenance, protection order, physical abuse",Family Law,https://www.indiacode.nic.in/handle/123456789/2021/section_12,Active
21,Code of Criminal Procedure,1973,125,"Order for maintenance of wives, children and parents","If any person having sufficient means neglects or refuses to maintain his wife, unable to maintain herself, or his legitimate or illegitimate minor child, a Magistrate of the first class may, upon proof of such neglect or refusal, order such person to make a monthly allowance for the maintenance of his wife or child.","maintenance, alimony, support, wife, children, magistrate, divorce",Criminal Law,https://www.indiacode.nic.in/handle/123456789/1612/section_125,Active
22,Indian Contract Act,1872,11,Who are competent to contract,Minors and persons of unsound mind are not competent.,"minor, competency, contract",Contract Law,https://www.indiacode.nic.in/handle/123456789/2187/section_11,Active
23,Indian Contract Act,1872,23,"What considerations and objects are lawful, and what not","Consideration or object must not be unlawful, fraudulent, or against public policy.","unlawful consideration, public policy, void agreement",Contract Law,https://www.indiacode.nic.in/handle/123456789/2187/section_23,Active
24,Indian Contract Act,1872,39,Effect of refusal of party to perform promise wholly,"When a party refuses, the promisee may put an end to the contract.","breach, refusal, termination",Contract Law,https://www.indiacode.nic.in/handle/123456789/2187/section_39,Active
25,Information Technology Act,2000,43A,Compensation for failure to protect data,Body corporate failing to protect sensitive personal data is liable to pay damages.,"data privacy, security, breach, data leak, compensation",Cyber Law,https://www.indiacode.nic.in/handle/123456789/1999/section_43A,Active
26,Information Technology Act,2000,66E,Punishment for violation of privacy,"Intentionally capturing, publishing images of private areas without consent.","privacy, camera, voyeurism, cyber crime",Cyber Law,https://www.indiacode.nic.in/handle/123456789/1999/section_66E,Active
27,Information Technology Act,2000,67,Punishment for publishing obscene material in electronic form,Publishing or transmitting obscene material in electronic form is punishable.,"obscene, cyber crime, explicit content",Cyber Law,https://www.indiacode.nic.in/handle/123456789/1999/section_67,Active
28,Negotiable Instruments Act,1881,140,Defence which may not be allowed in any prosecution under section 138,It shall not be a defence in a prosecution that the drawer had no reason to believe that the cheque may be dishonoured.,"defence, cheque, drawer, trial",Cheque/payment disputes,https://www.indiacode.nic.in/handle/123456789/2189/section_140,Active
29,Negotiable Instruments Act,1881,141,Offences by companies,"If the person committing an offence under section 138 is a company, every person in charge is liable.","company check, director liability, corporate cheque",Cheque/payment disputes,https://www.indiacode.nic.in/handle/123456789/2189/section_141,Active
30,Consumer Protection Act,2019,2(1) (g),Defect in goods,"Any fault, imperfection or shortcoming in the quality, quantity, potency, purity or standard of goods.","defect, product, consumer, poor quality",Consumer Law,https://www.indiacode.nic.in/handle/123456789/11100/section_2(1) (g),Active
31,Consumer Protection Act,2019,84,Liability of product manufacturer,Product manufacturer shall be liable in a product liability action if product contains manufacturing defect.,"product liability, manufacturing defect, personal injury",Consumer Law,https://www.indiacode.nic.in/handle/123456789/11100/section_84,Active
32,Transfer of Property Act,1882,53A,Part performance,Where any person contracts to transfer for consideration any immoveable property and the transferee has taken possession.,"part performance, possession, contract",Property Law,https://www.indiacode.nic.in/handle/123456789/2334/section_53A,Active
33,Transfer of Property Act,1882,106,Duration of certain leases in absence of written contract,Lease of immoveable property for agricultural or manufacturing purposes shall be deemed to be from year to year.,"lease duration, termination notice, eviction",Property Law,https://www.indiacode.nic.in/handle/123456789/2334/section_106,Active
34,Transfer of Property Act,1882,111,Determination of lease,"A lease of immoveable property determines by efflux of time, forfeiture, surrender, or notice to quit.","lease termination, expiry, forfeiture, eviction",Property Law,https://www.indiacode.nic.in/handle/123456789/2334/section_111,Active
35,Indian Penal Code,1860,323,Punishment for voluntarily causing hurt,Punishment for voluntarily causing hurt is imprisonment up to one year or fine up to 1000 rupees.,"hurt, assault, simple injury, violence",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_323,Active
36,Indian Penal Code,1860,325,Punishment for voluntarily causing grievous hurt,Punishment for grievous hurt is imprisonment up to seven years and fine.,"grievous hurt, fracture, severe injury, bone break",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_325,Active
37,Indian Penal Code,1860,341,Punishment for wrongful restraint,Punishment for preventing any person from proceeding in any direction.,"wrongful restraint, block, illegal confinement",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_341,Active
38,Indian Penal Code,1860,379,Punishment for theft,Whoever commits theft shall be punished with imprisonment up to 3 years.,"theft, steal, punishment",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_379,Active
39,Indian Penal Code,1860,406,Punishment for criminal breach of trust,Whoever commits criminal breach of trust shall be punished with imprisonment up to 3 years.,"breach of trust, misappropriation, security deposit, fraud",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_406,Active
40,Indian Penal Code,1860,506,Punishment for criminal intimidation,Whoever commits the offence of criminal intimidation shall be punished with imprisonment up to 2 years.,"threat, intimidation, blackmail, extortion",Criminal Law,https://www.indiacode.nic.in/handle/123456789/2265/section_506,Active
41,Code of Criminal Procedure,1973,437,When bail may be taken in case of non-bailable offence,Provisions for bail when a person accused of non-bailable offence is arrested without warrant.,"bail, non-bailable, magistrate, release",Criminal Law,https://www.indiacode.nic.in/handle/123456789/1612/section_437,Active
42,Code of Criminal Procedure,1973,438,Direction for grant of bail to person apprehending arrest,Anticipatory bail applications filed before High Court or Court of Session.,"anticipatory bail, arrest apprehension, police custody",Criminal Law,https://www.indiacode.nic.in/handle/123456789/1612/section_438,Active
43,Code of Criminal Procedure,1973,482,Saving of inherent powers of High Court,High Court has inherent powers to prevent abuse of process of court or to secure ends of justice.,"quash, inherent power, FIR quashing, high court",Criminal Law,https://www.indiacode.nic.in/handle/123456789/1612/section_482,Active
44,Protection of Women from Domestic Violence Act,2005,18,Protection orders,Magistrate may pass a protection order prohibiting the respondent from committing domestic violence.,"protection order, abuse, stay order, domestic violence",Family Law,https://www.indiacode.nic.in/handle/123456789/2021/section_18,Active
45,Protection of Women from Domestic Violence Act,2005,19,Residence orders,Magistrate may pass a residence order restraining the respondent from dispossessing the wife from shared household.,"residence order, shared household, eviction, wife support",Family Law,https://www.indiacode.nic.in/handle/123456789/2021/section_19,Active
46,Protection of Women from Domestic Violence Act,2005,20,Monetary reliefs,Magistrate may direct the respondent to pay monetary relief to meet the expenses incurred by wife.,"monetary relief, medical expenses, loss of earnings, maintenance",Family Law,https://www.indiacode.nic.in/handle/123456789/2021/section_20,Active
47,Synthetic Act on Cyber Law,1993,108,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_47,Active
48,Synthetic Act on Criminal Law,2013,31,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_48,Active
49,Synthetic Act on Cyber Law,2003,50,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_49,Active
50,Synthetic Act on Property Law,1987,139,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_50,Active
51,Synthetic Act on Cyber Law,2005,31,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_51,Active
52,Synthetic Act on Criminal Law,2017,8,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_52,Active
53,Synthetic Act on Property Law,2024,66,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_53,Active
54,Synthetic Act on Banking Law,2004,45,Provisions regarding Banking Law violation,This section details the penalty and civil liability associated with violations of Banking Law regulations under Indian law.,"synthetic, banking law, provision, penalty, liability",Banking Law,https://www.indiacode.nic.in/synthetic_54,Active
55,Synthetic Act on Property Law,2009,32,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_55,Active
56,Synthetic Act on Consumer Law,2018,90,Provisions regarding Consumer Law violation,This section details the penalty and civil liability associated with violations of Consumer Law regulations under Indian law.,"synthetic, consumer law, provision, penalty, liability",Consumer Law,https://www.indiacode.nic.in/synthetic_56,Active
57,Synthetic Act on Property Law,1982,77,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_57,Active
58,Synthetic Act on Criminal Law,1991,79,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_58,Active
59,Synthetic Act on Criminal Law,2019,89,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_59,Active
60,Synthetic Act on Consumer Law,1997,106,Provisions regarding Consumer Law violation,This section details the penalty and civil liability associated with violations of Consumer Law regulations under Indian law.,"synthetic, consumer law, provision, penalty, liability",Consumer Law,https://www.indiacode.nic.in/synthetic_60,Active
61,Synthetic Act on Property Law,2000,40,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_61,Active
62,Synthetic Act on Consumer Law,2015,129,Provisions regarding Consumer Law violation,This section details the penalty and civil liability associated with violations of Consumer Law regulations under Indian law.,"synthetic, consumer law, provision, penalty, liability",Consumer Law,https://www.indiacode.nic.in/synthetic_62,Active
63,Synthetic Act on Property Law,1992,100,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_63,Active
64,Synthetic Act on Cyber Law,2023,84,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_64,Active
65,Synthetic Act on Cyber Law,1996,35,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_65,Active
66,Synthetic Act on Consumer Law,1991,40,Provisions regarding Consumer Law violation,This section details the penalty and civil liability associated with violations of Consumer Law regulations under Indian law.,"synthetic, consumer law, provision, penalty, liability",Consumer Law,https://www.indiacode.nic.in/synthetic_66,Active
67,Synthetic Act on Banking Law,2021,134,Provisions regarding Banking Law violation,This section details the penalty and civil liability associated with violations of Banking Law regulations under Indian law.,"synthetic, banking law, provision, penalty, liability",Banking Law,https://www.indiacode.nic.in/synthetic_67,Active
68,Synthetic Act on Criminal Law,2004,12,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_68,Active
69,Synthetic Act on Criminal Law,1985,40,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_69,Active
70,Synthetic Act on Property Law,1986,62,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_70,Active
71,Synthetic Act on Cyber Law,2012,91,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_71,Active
72,Synthetic Act on Cyber Law,2011,122,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_72,Active
73,Synthetic Act on Criminal Law,2008,104,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_73,Active
74,Synthetic Act on Criminal Law,2012,135,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_74,Active
75,Synthetic Act on Property Law,2008,119,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_75,Active
76,Synthetic Act on Property Law,1982,17,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_76,Active
77,Synthetic Act on Property Law,1981,140,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_77,Active
78,Synthetic Act on Cyber Law,2021,130,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_78,Active
79,Synthetic Act on Criminal Law,1987,1,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_79,Active
80,Synthetic Act on Consumer Law,2022,121,Provisions regarding Consumer Law violation,This section details the penalty and civil liability associated with violations of Consumer Law regulations under Indian law.,"synthetic, consumer law, provision, penalty, liability",Consumer Law,https://www.indiacode.nic.in/synthetic_80,Active
81,Synthetic Act on Criminal Law,1997,108,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_81,Active
82,Synthetic Act on Property Law,2006,35,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_82,Active
83,Synthetic Act on Criminal Law,2017,52,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_83,Active
84,Synthetic Act on Criminal Law,1988,93,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_84,Active
85,Synthetic Act on Consumer Law,2004,87,Provisions regarding Consumer Law violation,This section details the penalty and civil liability associated with violations of Consumer Law regulations under Indian law.,"synthetic, consumer law, provision, penalty, liability",Consumer Law,https://www.indiacode.nic.in/synthetic_85,Active
86,Synthetic Act on Property Law,2011,130,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_86,Active
87,Synthetic Act on Criminal Law,2023,147,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_87,Active
88,Synthetic Act on Criminal Law,2024,36,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_88,Active
89,Synthetic Act on Consumer Law,2015,74,Provisions regarding Consumer Law violation,This section details the penalty and civil liability associated with violations of Consumer Law regulations under Indian law.,"synthetic, consumer law, provision, penalty, liability",Consumer Law,https://www.indiacode.nic.in/synthetic_89,Active
90,Synthetic Act on Property Law,1999,64,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_90,Active
91,Synthetic Act on Criminal Law,2014,81,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_91,Active
92,Synthetic Act on Criminal Law,2010,104,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_92,Active
93,Synthetic Act on Cyber Law,2003,54,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_93,Active
94,Synthetic Act on Banking Law,1981,30,Provisions regarding Banking Law violation,This section details the penalty and civil liability associated with violations of Banking Law regulations under Indian law.,"synthetic, banking law, provision, penalty, liability",Banking Law,https://www.indiacode.nic.in/synthetic_94,Active
95,Synthetic Act on Criminal Law,2023,2,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_95,Active
96,Synthetic Act on Property Law,2015,117,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_96,Active
97,Synthetic Act on Property Law,1992,20,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_97,Active
98,Synthetic Act on Criminal Law,2009,80,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_98,Active
99,Synthetic Act on Property Law,1997,84,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_99,Active
100,Synthetic Act on Cyber Law,2022,13,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_100,Active
101,Synthetic Act on Banking Law,2012,119,Provisions regarding Banking Law violation,This section details the penalty and civil liability associated with violations of Banking Law regulations under Indian law.,"synthetic, banking law, provision, penalty, liability",Banking Law,https://www.indiacode.nic.in/synthetic_101,Active
102,Synthetic Act on Banking Law,2022,23,Provisions regarding Banking Law violation,This section details the penalty and civil liability associated with violations of Banking Law regulations under Indian law.,"synthetic, banking law, provision, penalty, liability",Banking Law,https://www.indiacode.nic.in/synthetic_102,Active
103,Synthetic Act on Cyber Law,1998,24,Provisions regarding Cyber Law violation,This section details the penalty and civil liability associated with violations of Cyber Law regulations under Indian law.,"synthetic, cyber law, provision, penalty, liability",Cyber Law,https://www.indiacode.nic.in/synthetic_103,Active
104,Synthetic Act on Property Law,1986,61,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_104,Active
105,Synthetic Act on Property Law,1981,71,Provisions regarding Property Law violation,This section details the penalty and civil liability associated with violations of Property Law regulations under Indian law.,"synthetic, property law, provision, penalty, liability",Property Law,https://www.indiacode.nic.in/synthetic_105,Active
106,Synthetic Act on Criminal Law,2021,35,Provisions regarding Criminal Law violation,This section details the penalty and civil liability associated with violations of Criminal Law regulations under Indian law.,"synthetic, criminal law, provision, penalty, liability",Criminal Law,https://www.indiacode.nic.in/synthetic_106,Active
